BJD - 2454833, Corrected Flux
1958.090720439,1.000212440
1958.111151958,1.000388978
1958.131583576,1.000417610
1958.152015295,1.000764175
1958.172446814,1.000605926
1958.192878533,1.000835856
1958.213310152,1.000416058
1958.233741671,1.000615713
1958.254173390,1.000224712
1958.315468249,1.000165405
1958.335899868,0.999981096
1958.356331588,1.000172285
1958.376763108,1.000401186
1958.397194728,1.000142382
1958.417626448,1.000221799
1958.438057968,1.000647616
1958.458489588,1.000080135
1958.478921308,1.000200460
1958.499352928,1.000197995
1958.560647690,1.000307053
1958.581079411,1.000167559
1958.601511031,0.999905443
1958.621942552,1.000153910
1958.642374273,1.000019988
1958.662805894,1.000834792
1958.683237415,1.000479551
1958.703669137,1.000129542
1958.724100758,1.000132069
1958.744532480,1.000089685
1958.805827345,1.000275669
1958.826258866,1.000177061
1958.846690488,1.000247439
1958.867122210,1.000052573
1958.887553733,1.000034504
1958.907985355,1.000257017
1958.928417077,1.000408284
1958.948848600,1.000103246
1958.969280322,1.000373131
1958.989711945,1.000248428
1959.051006813,0.999968498
1959.071438436,1.000132825
1959.091870059,1.000083519
1959.112301683,1.000134928
1959.132733406,0.999970662
1959.153165029,1.000105942
1959.173596553,1.000193390
1959.194028277,1.000042951
1959.214459800,1.000059255
1959.234891424,1.000041470
1959.275754672,1.000249829
1959.296186396,0.999985402
1959.316618021,1.000098354
1959.337049545,1.000002967
1959.377912894,1.000160470
1959.398344419,1.000194933
1959.418776143,0.999960429
1959.439207768,1.000030618
1959.459639293,1.000088450
1959.480071018,0.999901164
1959.520934369,0.999863141
1959.541365894,0.999857504
1959.561797520,1.000110176
1959.582229245,0.999925929
1959.602660771,1.000020903
1959.623092397,0.999883577
1959.643524123,1.000093054
1959.663955749,1.000134120
1959.704819001,0.999969635
1959.786545507,0.999932447
1959.806977134,0.999585881
1959.827408761,0.999901528
1959.847840388,0.999912776
1959.868272115,0.999802583
1959.888703642,1.000005343
1959.909135369,1.000110632
1959.929566897,1.000146129
1959.949998524,1.000017755
1959.970430252,1.000198184
1960.031725136,0.999922180
1960.052156664,1.000027017
1960.072588392,0.999979201
1960.093020020,1.000452963
1960.113451549,1.000346927
1960.133883277,1.000262237
1960.154314906,1.001119922
1960.195178163,1.000601305
1960.215609792,1.000193662
1960.276904680,1.000198547
1960.297336409,0.999807128
1960.317767939,0.999977127
1960.338199568,0.999701410
1960.358631298,0.999824936
1960.379062928,1.000066108
1960.399494458,1.000180322
1960.419926188,1.000380172
1960.440357818,1.000030632
1960.481221079,1.000314468
1960.501652710,1.000153999
1960.522084441,1.000572857
1960.542515971,1.000182798
1960.562947502,1.000059770
1960.583379233,1.000053670
